delegator_acc,validator_acc,bonded_token
somm1p6pdensxvnkrdaehtrv2km28e7w0t6d7f8wgt6,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1t64u2enf3t7jrq2sw49n2aqngxhpa4qj2fa7w2,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm13dl0ufwwzepvc5pzt97ep3v2kkvu6g87p33wqe,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm12qxt27l9nkwx30972krc7uqln3k2t6tf8v5sc2,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1tl68p32cltwyr0ug6lghcdm2a47tsv9zsshn9m,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1zn23yqpur5lyduk4cdg5zney43mjzasc2k9cfm,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm18xejpqpxt84c7dwrzs60vqjdvz0qvvvcz34nrt,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1d0utvgg6mnnc7kh63v6au5zyrjgv22a2qvj4mg,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1rwtazpyspj593mtje4xa6zqkzwrqhw7r6c5kxp,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm13a9q7msmss0n9u5l9gz2rjjvph2avvdy5k52u4,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1w5uts0aq2n05gfqhcm3820hmrr0hrac4qmuav3,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1vpujs4zc4ut02d5pjwf83qswz7m843ss8grtfu,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1wx4l083748kl7cf2paewultsue42cxxe7zmg0s,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1gvpckqw6l7c39km0afft95qzykzj88cvvwmqvw,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1f04haf8fs3pgagkf2pa5ay5uqrkjstzxf8wykl,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1vuypyrjq2vymnedvwfc2rlhvx78k9q4a4822xw,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1s4qz3yz8dq46gsjws0zmfz62zdddpy906cgqpt,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1g2mjkrugdjr0h75cwg9ml5r8ynltd4z9emxup8,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1df7x3xg4ynhlz6xtx40g0mhvnr2l0sjsfrmgy6,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1f5jw7e4rehj23epgqngtrqrkw392cwwe95jgmy,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm19ey78vr7y7yrsn9qtqk24kmg98dk2fqd63qxn6,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1zzuttewnk3keg6m3xf2n3wxd2h7wkvj7p8e4tx,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm18lz45r3jznse0rxrfn79mxeepwt8kt0y7yzhjy,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1ycgkz3hfp9euglxyg5p0fmpk7zavcgg0ve2kgt,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1gcxkh4z0xhg447ng39u7lfsfhg6cl946s69dyz,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1dkvm2v3md93q847d8j2els6gv43cvatqrantat,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1plxajyqwe97ghd4em2xgd39wzvr27aelh5kcw2,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1887ye8m4u60rm8fct7vm8a305sahl3gj2zlrts,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1xcqt9tu9q9jzculqrryzp3v472336vlftnks8l,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1gw6yu9jetj2vrht8qrf9wmpjdq4weuee4su6vs,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1qhc5pdg7p55a2pxd3h5qusf6chvdpfemjfpltd,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1tfyx6ad4nr4f2j3syyualsztxdgdxz8pkr32hq,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1qn08klln63pf390z3mvlt4us45qedknr0pn7qj,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1v779pqxnvamjv2fkvfn27dwkteljnvrcqal9ln,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1qt8lsmlj8j9390zs4rsjaft7jvrcmqeyg7v67f,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm10gvgsutdqd7lxwzsjm2g3uz4e3stduxrmxx53f,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
